date,state,daily
2021-04-05,Pulau Pinang,3132
2021-04-05,Sabah,2239
2021-04-05,Sarawak,2124
2021-04-05,Selangor,8213
2021-04-05,Terengganu,3719
2021-04-05,W.P. Kuala Lumpur,6421
2021-04-05,W.P. Labuan,523
2021-04-05,W.P. Putrajaya,446
2021-04-06,Johor,1782
2021-04-06,Kedah,4991
2021-04-06,Kelantan,463
2021-04-06,Melaka,3547
2021-04-06,Negeri Sembilan,3241
2021-04-06,Pahang,4166
2021-04-06,Perak,9207
2021-04-06,Perlis,1231
2021-04-06,Pulau Pinang,5663
2021-04-06,Sabah,10881
2021-04-06,Sarawak,10636
2021-04-06,Selangor,16558
2021-04-06,Terengganu,1
2021-04-06,W.P. Kuala Lumpur,16763
2021-04-06,W.P. Labuan,649
2021-04-06,W.P. Putrajaya,1392
2021-04-07,Johor,14765
2021-04-07,Kedah,11745
2021-04-07,Kelantan,10416
2021-04-07,Melaka,0
2021-04-07,Negeri Sembilan,4406
2021-04-07,Pahang,1961
2021-04-07,Perak,16044
2021-04-07,Perlis,416
2021-04-07,Pulau Pinang,7147
2021-04-07,Sabah,8477
2021-04-07,Sarawak,41454
2021-04-07,Selangor,42044
2021-04-07,Terengganu,8989
2021-04-07,W.P. Kuala Lumpur,45067
2021-04-07,W.P. Labuan,960
2021-04-07,W.P. Putrajaya,985
2021-04-08,Johor,49431
2021-04-08,Kedah,31690
2021-04-08,Kelantan,33721
2021-04-08,Melaka,16774
2021-04-08,Negeri Sembilan,25866
2021-04-08,Pahang,26715
2021-04-08,Perak,31852
2021-04-08,Perlis,3263
2021-04-08,Pulau Pinang,29036
2021-04-08,Sabah,42556
2021-04-08,Sarawak,25442
2021-04-08,Selangor,118432
2021-04-08,Terengganu,14798
2021-04-08,W.P. Kuala Lumpur,54466
2021-04-08,W.P. Labuan,638
2021-04-08,W.P. Putrajaya,4689
2021-04-09,Johor,60358
2021-04-09,Kedah,18039
2021-04-09,Kelantan,14089
2021-04-09,Melaka,16774
2021-04-09,Negeri Sembilan,4674
2021-04-09,Pahang,22852
2021-04-09,Perak,24864
2021-04-09,Perlis,2731
2021-04-09,Pulau Pinang,20112
2021-04-09,Sabah,39249
2021-04-09,Sarawak,3478
2021-04-09,Selangor,34342
2021-04-09,Terengganu,19793
2021-04-09,W.P. Kuala Lumpur,24597
2021-04-09,W.P. Labuan,189
2021-04-09,W.P. Putrajaya,440
2021-04-13,Johor,44
2021-04-13,Kedah,120
2021-04-13,Kelantan,1398
2021-04-13,Melaka,0
2021-04-13,Negeri Sembilan,2050
2021-04-13,Pahang,777
2021-04-13,Perak,423
